Column1;id;geometry;x;y;ulica;orientacne cislo;ulica_cislo;Typ budovy;Mestsk‡ ‹asé;M‰;Katastr‡lne œzemie;Pribliìnù po‹et bytov
3276;27870;POINT (21.2931888 48.6851333);21.2931888;48.6851333;Jenisejsk‡;63;Jenisejsk‡ 63;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;25.0
3277;27869;POINT (21.2933811 48.685018);21.2933811;48.685018;Jenisejsk‡;65;Jenisejsk‡ 65;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;17.0
3278;27838;POINT (21.2901498 48.6849678);21.2901498;48.6849678;Uralsk‡;6;Uralsk‡ 6;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;16.0
3279;27840;POINT (21.2899905 48.6850899);21.2899905;48.6850899;Uralsk‡;7;Uralsk‡ 7;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;16.0
3280;27842;POINT (21.2898312 48.685212);21.2898312;48.685212;Uralsk‡;8;Uralsk‡ 8;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;16.0
3281;27845;POINT (21.2896719 48.685334);21.2896719;48.685334;Uralsk‡;9;Uralsk‡ 9;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;22.0
3282;27847;POINT (21.2895126 48.6854561);21.2895126;48.6854561;Uralsk‡;10;Uralsk‡ 10;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;22.0
3283;27849;POINT (21.2893533 48.6855781);21.2893533;48.6855781;Uralsk‡;11;Uralsk‡ 11;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;22.0
3284;27852;POINT (21.2927567 48.6835757);21.2927567;48.6835757;Ladoìsk‡;7;Ladoìsk‡ 7;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;22.0
3285;27854;POINT (21.2929225 48.6836734);21.2929225;48.6836734;Ladoìsk‡;8;Ladoìsk‡ 8;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;22.0
3286;27855;POINT (21.2930884 48.683771);21.2930884;48.683771;Ladoìsk‡;9;Ladoìsk‡ 9;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;22.0
3287;27856;POINT (21.2932567 48.6838687);21.2932567;48.6838687;Ladoìsk‡;10;Ladoìsk‡ 10;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;22.0
3288;27857;POINT (21.2934311 48.6839414);21.2934311;48.6839414;Ladoìsk‡;11;Ladoìsk‡ 11;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;20.0
3289;27858;POINT (21.2935946 48.6840397);21.2935946;48.6840397;Ladoìsk‡;12;Ladoìsk‡ 12;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;20.0
3290;27859;POINT (21.2937755 48.6841426);21.2937755;48.6841426;Ladoìsk‡;13;Ladoìsk‡ 13;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;26.0
3291;27860;POINT (21.2939232 48.6842316);21.2939232;48.6842316;Ladoìsk‡;14;Ladoìsk‡ 14;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;26.0
3292;27861;POINT (21.2941146 48.6843426);21.2941146;48.6843426;Ladoìsk‡;15;Ladoìsk‡ 15;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;26.0
3293;27863;POINT (21.2942658 48.6844293);21.2942658;48.6844293;Ladoìsk‡;16;Ladoìsk‡ 16;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;26.0
3294;27864;POINT (21.2938 48.6846992);21.2938;48.6846992;Jenisejsk‡;71;Jenisejsk‡ 71;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;17.0
3295;27865;POINT (21.2936713 48.6847972);21.2936713;48.6847972;Jenisejsk‡;69;Jenisejsk‡ 69;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;17.0
3296;27867;POINT (21.2935061 48.6849239);21.2935061;48.6849239;Jenisejsk‡;67;Jenisejsk‡ 67;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;17.0
3297;27745;POINT (21.2880878 48.6886198);21.2880878;48.6886198;Jenisejsk‡;15;Jenisejsk‡ 15;Rodinnù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;1.0
3298;27743;POINT (21.2879312 48.68874);21.2879312;48.68874;Jenisejsk‡;13;Jenisejsk‡ 13;Rodinnù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;1.0
3299;27740;POINT (21.2878026 48.6888265);21.2878026;48.6888265;Jenisejsk‡;11A;Jenisejsk‡ 11A;Rodinnù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;1.0
3300;27621;POINT (21.2849094 48.6966812);21.2849094;48.6966812;Baltick‡;23;Baltick‡ 23;Rodinnù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;1.0
3301;27597;POINT (21.28265 48.6964087);21.28265;48.6964087;Kaspick‡;3;Kaspick‡ 3;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;19.0
3302;27600;POINT (21.2824115 48.6964016);21.2824115;48.6964016;Kaspick‡;2;Kaspick‡ 2;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;19.0
3303;27602;POINT (21.2821574 48.6963939);21.2821574;48.6963939;Kaspick‡;1;Kaspick‡ 1;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;19.0
3304;27604;POINT (21.2821753 48.6969303);21.2821753;48.6969303;Bukoveck‡;3;Bukoveck‡ 3;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;29.0
3305;27605;POINT (21.2815284 48.6971511);21.2815284;48.6971511;Bukoveck‡;2;Bukoveck‡ 2;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;22.0
3306;27607;POINT (21.2818845 48.6975651);21.2818845;48.6975651;Bukoveck‡;1;Bukoveck‡ 1;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;15.0
3307;27609;POINT (21.2843976 48.6964587);21.2843976;48.6964587;Baltick‡;17A;Baltick‡ 17A;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;6.0
3308;27612;POINT (21.284414 48.6960057);21.284414;48.6960057;Baltick‡;17B;Baltick‡ 17B;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;6.0
3309;27618;POINT (21.2847214 48.6965603);21.2847214;48.6965603;Baltick‡;20;Baltick‡ 20;Rodinnù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;1.0
3310;27628;POINT (21.2813547 48.6961334);21.2813547;48.6961334;Bukoveck‡;5;Bukoveck‡ 5;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;13.0
3311;27642;POINT (21.2811622 48.6943422);21.2811622;48.6943422;Bukoveck‡;16;Bukoveck‡ 16;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;28.0
3312;27629;POINT (21.2813372 48.6959706);21.2813372;48.6959706;Bukoveck‡;6;Bukoveck‡ 6;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;13.0
3313;27630;POINT (21.2813197 48.6958077);21.2813197;48.6958077;Bukoveck‡;7;Bukoveck‡ 7;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;13.0
3314;27631;POINT (21.2813022 48.6956449);21.2813022;48.6956449;Bukoveck‡;8;Bukoveck‡ 8;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;29.0
3315;27633;POINT (21.2812847 48.6954821);21.2812847;48.6954821;Bukoveck‡;9;Bukoveck‡ 9;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;29.0
3316;27634;POINT (21.2812672 48.6953192);21.2812672;48.6953192;Bukoveck‡;10;Bukoveck‡ 10;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;29.0
3317;27635;POINT (21.2812497 48.6951564);21.2812497;48.6951564;Bukoveck‡;11;Bukoveck‡ 11;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;27.0
3318;27638;POINT (21.2812322 48.6949936);21.2812322;48.6949936;Bukoveck‡;12;Bukoveck‡ 12;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;27.0
3319;27639;POINT (21.2812147 48.6948307);21.2812147;48.6948307;Bukoveck‡;13;Bukoveck‡ 13;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;27.0
3320;27640;POINT (21.2811972 48.6946679);21.2811972;48.6946679;Bukoveck‡;14;Bukoveck‡ 14;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;28.0
3321;27596;POINT (21.2828983 48.6964161);21.2828983;48.6964161;Kaspick‡;4;Kaspick‡ 4;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;19.0
3322;27593;POINT (21.2831397 48.6964234);21.2831397;48.6964234;Kaspick‡;5;Kaspick‡ 5;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;19.0
3323;27591;POINT (21.2833888 48.6964309);21.2833888;48.6964309;Kaspick‡;6;Kaspick‡ 6;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;19.0
3324;27590;POINT (21.2839067 48.696466);21.2839067;48.696466;Baltick‡;16;Baltick‡ 16;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;22.0
3325;27557;POINT (21.3034375 48.676625);21.3034375;48.676625;Galaktick‡;22;Galaktick‡ 22;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;21.0
3326;27559;POINT (21.3035733 48.6765247);21.3035733;48.6765247;Galaktick‡;24;Galaktick‡ 24;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;21.0
3327;27562;POINT (21.3039319 48.6763066);21.3039319;48.6763066;Galaktick‡;28;Galaktick‡ 28;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;23.0
3328;27563;POINT (21.3042647 48.6760624);21.3042647;48.6760624;Galaktick‡;32;Galaktick‡ 32;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;23.0
3329;27567;POINT (21.2816547 48.6981677);21.2816547;48.6981677;Baltick‡;1;Baltick‡ 1;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;20.0
3330;27573;POINT (21.2819281 48.6981542);21.2819281;48.6981542;Baltick‡;2;Baltick‡ 2;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;20.0
3331;27574;POINT (21.2821814 48.6981418);21.2821814;48.6981418;Baltick‡;3;Baltick‡ 3;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;20.0
3332;27575;POINT (21.2824674 48.6981278);21.2824674;48.6981278;Baltick‡;4;Baltick‡ 4;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;20.0
3333;27577;POINT (21.2829854 48.698027);21.2829854;48.698027;Baltick‡;5;Baltick‡ 5;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;15.0
3334;27578;POINT (21.28297 48.6978684);21.28297;48.6978684;Baltick‡;6;Baltick‡ 6;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;15.0
3335;27579;POINT (21.2829569 48.697733);21.2829569;48.697733;Baltick‡;7;Baltick‡ 7;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;15.0
3336;27581;POINT (21.2829418 48.6975777);21.2829418;48.6975777;Baltick‡;8;Baltick‡ 8;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;15.0
3337;27582;POINT (21.2834089 48.6974759);21.2834089;48.6974759;Baltick‡;9;Baltick‡ 9;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;10.0
3338;27583;POINT (21.2834026 48.6973405);21.2834026;48.6973405;Baltick‡;10;Baltick‡ 10;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;10.0
3339;27584;POINT (21.2833953 48.6971966);21.2833953;48.6971966;Baltick‡;11;Baltick‡ 11;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;10.0
3340;27585;POINT (21.2833874 48.6970406);21.2833874;48.6970406;Baltick‡;12;Baltick‡ 12;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;10.0
3341;27586;POINT (21.2838759 48.6969093);21.2838759;48.6969093;Baltick‡;13;Baltick‡ 13;Bytovù dom;Koäice-Nad jazerom;Nad jazerom;Jazero;22.0
